from,to,value
Alabama,Alabama,0.44413207120347575
Alabama,Alaska,7298.154924094748
Alabama,Arizona,2740.7129703951236
Alabama,Arkansas,620.8840327881311
Alabama,California,3658.397236563194
Alabama,Colorado,2059.973389598489
Alabama,Connecticut,1561.1954707623051
Alabama,Delaware,1255.1165682321612
Alabama,Florida,567.7561148456782
Alabama,Georgia,350.1583012934536
Alabama,Hawaii,7864.750572121567
Alabama,Idaho,3079.697784507266
Alabama,Illinois,244.15039027245874
Alabama,Indiana,59.27097910286771
Alabama,Iowa,714.0282080268972
Alabama,Kansas,1105.1078032700511
Alabama,Kentucky,235.92617764545804
Alabama,Louisiana,564.67761177715
Alabama,Maine,1936.4230717419134
Alabama,Maryland,1111.0783936974815
Alabama,Massachusetts,1697.4814871905496
Alabama,Michigan,250.82783601504354
Alabama,Minnesota,790.739628728738
Alabama,Mississippi,321.1835153955665
Alabama,Missouri,611.4567507294914
Alabama,Montana,2632.056107244529
Alabama,Nebraska,1276.5792571300583
Alabama,Nevada,3366.2865634248733
Alabama,New Hampshire,1693.7230312577385
Alabama,New Jersey,1364.803637270005
Alabama,New Mexico,2164.2377858187474
Alabama,New York,1317.304051932147
Alabama,North Carolina,776.9086420414399
Alabama,North Dakota,1445.1958890660121
Alabama,Ohio,447.8357188998595
Alabama,Oklahoma,1127.6241678401502
Alabama,Oregon,3924.166906049239
Alabama,Pennsylvania,1065.7351110757263
Alabama,Rhode Island,1699.519885042954
Alabama,South Carolina,650.2637135112061
Alabama,South Dakota,1406.8011322064235
Alabama,Tennessee,10.997087193473503
Alabama,Texas,1198.2043859274086
Alabama,Utah,2788.676719812295
Alabama,Vermont,1566.1657756556126
Alabama,Virginia,958.9307896150599
Alabama,Washington,3859.6042172069415
Alabama,West Virginia,649.2130367528339
Alabama,Wisconsin,314.2663612911076
Alabama,Wyoming,2281.4749174424173
Alaska,Alabama,7298.154924094748
Alaska,Alaska,7.0317064788911985
Alaska,Arizona,4557.444419564358
Alaska,Arkansas,6677.271251856299
Alaska,California,3639.7617140542948
Alaska,Colorado,5238.183151700987
Alaska,Connecticut,8859.34900683857
Alaska,Delaware,8553.27028303282
Alaska,Florida,7865.910188183586
Alaska,Georgia,7648.31241702486
Alaska,Hawaii,566.6411937306882
Alaska,Idaho,4218.460112946373
Alaska,Illinois,7054.004843961518
Alaska,Indiana,7357.423919880591
Alaska,Iowa,6584.12713201615
Alaska,Kansas,6193.047822951238
Alaska,Kentucky,7534.080237513238
Alaska,Louisiana,6733.477643365281
Alaska,Maine,9234.576386590934
Alaska,Maryland,8409.232191124558
Alaska,Massachusetts,8995.634943046312
Alaska,Michigan,7548.981910149587
Alaska,Minnesota,6507.415761608233
Alaska,Mississippi,6976.971680879259
Alaska,Missouri,6686.698528731819
Alaska,Montana,4666.1011334087225
Alaska,Nebraska,6021.576512889933
Alaska,Nevada,3931.8718214591363
Alaska,New Hampshire,8991.876489328513
Alaska,New Jersey,8662.95728836575
Alaska,New Mexico,5133.918873220732
Alaska,New York,8615.457730678016
Alaska,North Carolina,8075.062620992898
Alaska,North Dakota,5852.9600311629
Alaska,Ohio,7745.989828106719
Alaska,Oklahoma,6170.53147672342
Alaska,Oregon,3373.992634899911
Alaska,Pennsylvania,8363.888934162906
Alaska,Rhode Island,8997.673339697352
Alaska,South Carolina,7948.4177528389655
Alaska,South Dakota,5891.354753073387
Alaska,Tennessee,7309.142755113758
Alaska,Texas,6099.951317207936
Alaska,Utah,4509.480737987285
Alaska,Vermont,8864.319308810524
Alaska,Virginia,8257.084672177636
Alaska,Washington,3438.55517275606
Alaska,West Virginia,7947.367076545804
Alaska,Wisconsin,6983.888836421444
Alaska,Wyoming,5016.681878832045
Arizona,Alabama,2740.7129703951236
Arizona,Alaska,4557.444419564358
Arizona,Arizona,2.8990741056806884
Arizona,Arkansas,2119.8292910627356
Arizona,California,917.6905034016313
Arizona,Colorado,680.7440630273867
Arizona,Connecticut,4301.907489402949
Arizona,Delaware,3995.828657558663
Arizona,Florida,3308.4683523285785
Arizona,Georgia,3090.8705279691185
Arizona,Hawaii,5124.039945205111
Arizona,Idaho,338.99888301882504
Arizona,Illinois,2496.5628665078566
Arizona,Indiana,2799.9819749112207
Arizona,Iowa,2026.6851894165459
Arizona,Kansas,1635.6060544690545
Arizona,Kentucky,2976.638324152074
Arizona,Louisiana,2176.035674742836
Arizona,Maine,4677.135010228194
Arizona,Maryland,3851.790517415527
Arizona,Massachusetts,4438.19347584064
Arizona,Michigan,2991.539999799833
Arizona,Minnesota,1949.9738395210475
Arizona,Mississippi,2419.529700765119
Arizona,Missouri,2129.2565664686103
Arizona,Montana,108.69384990821844
Arizona,Nebraska,1464.1348953653153
Arizona,Nevada,625.5819760209619
Arizona,New Hampshire,4434.43502072155
Arizona,New Jersey,4105.515700794318
Arizona,New Mexico,576.4807845159535
Arizona,New York,4058.016126574949
Arizona,North Carolina,3517.62084329011
Arizona,North Dakota,1295.5186337116527
Arizona,Ohio,3188.5479618998875
Arizona,Oklahoma,1613.089724748583
Arizona,Oregon,1183.4591373680955
Arizona,Pennsylvania,3806.4472456599924
